Latitude,Longitude,test_score
-7.2573064,112.7451108,89.676
-7.2739164,112.7458733,86.006
-7.2560969,112.7335919,84.026
-7.2532712,112.6590269,82.702
-7.2978388,112.7419837,82.452
-7.3365522,112.7144796,80.636
-7.242707,112.7333871,79.406
-7.2887761,112.7776217,78.148
-7.3274713,112.7702543,77.482
-7.2499968,112.7627492,76.75
-7.3241167,112.7039936,75.836
-7.2262687,112.7729612,75.824
-7.2620675,112.7093981,75.548
-7.2570372,112.7332147,75.32
-7.234793,112.7287541,72.898
-7.3101161,112.7580728,72.346
-7.3085358,112.6627635,70.684
-7.2699102,112.6504937,69.976
-7.3071164,112.731231,69.104
-7.277077185,112.7285007,68.44434615
-7.248735,112.7470003,68.038
-7.2665165,112.7522534,67.754
-7.242647,112.7437471,67.698
-7.2779736,112.729814,67.356
-7.319338,112.7111251,67.356
-7.3200663,112.7391288,67.346
-7.3297797,112.7105541,66.696
-7.319487,112.760764,65.896
-7.3195082,112.6840847,65.888
-7.2239168,112.72745,65.878
-7.2374186,112.6061659,65.738
-7.3198864,112.7751996,65.054
-7.2906745,112.6940943,64.51
-7.2471864,112.7114298,63.752
-7.3071737,112.7875509,63.744
-7.2510402,112.7314847,63.186
-7.2342655,112.7323005,62.92
-7.3264502,112.6919862,62.538
-7.2193836,112.764026,62.392
-7.2429689,112.7872887,62.38
-7.2896248,112.7128745,62.3
-7.2651692,112.6700812,62.28
-7.2623698,112.6938425,61.95
-7.3179778,112.6461378,61.766
-7.241826,112.7483101,61.602
-7.2634771,112.7827229,60.95
-7.2232134,112.7414277,60.512
-7.2966627,112.7533251,60.448
-7.210338,112.7544132,59.03
-7.3421786,112.7496829,58.536
-7.3313636,112.6835034,57.368
-7.2305386,112.7435339,55.744
-7.3049632,112.7797712,55.68
